DATE_HOUR,HOURLYALTIMETERSETTING,HOURLYDEWPOINTTEMPF,HOURLYPRESENTWEATHERTYPE,HOURLYPRESSURETENDENCY,HOURLYRELATIVEHUMIDITY,HOURLYSEALEVELPRESSURE,HOURLYSKYCONDITIONS,HOURLYSTATIONPRESSURE,HOURLYVISIBILITY,HOURLYWETBULBTEMPF,HOURLYWINDSPEED,HOURLYDRYBULBTEMPF
2014-01-01 00,30.18,28.0,-1,4.443166074332871,70.0,30.18,0,29.54,10.0,33.0,7.0,37.0
2014-01-01 01,30.16,28.0,-1,4.443166074332871,73.0,30.16,0,29.52,10.0,33.0,7.0,36.0
2014-01-01 02,30.14,28.0,-1,8.0,73.0,30.14,0,29.5,10.0,33.0,10.0,36.0
2014-01-01 03,30.12,28.5,-1,8.0,73.0,30.13,0,29.505,10.0,33.5,9.5,36.5
2014-01-01 04,30.09,27.0,-1,4.443166074332871,78.0,30.1,0,29.45,10.0,31.0,7.0,33.0
2014-01-01 05,30.08,27.0,-1,6.0,82.0,30.09,0,29.44,10.0,30.0,6.0,32.0
2014-01-01 06,30.07,27.5,-1,6.0,82.0,30.085,1,29.45,10.0,30.5,6.5,32.5
2014-01-01 07,30.06,29.0,-1,4.443166074332871,70.0,30.07,1,29.42,10.0,34.0,14.0,38.0
2014-01-01 08,30.05,30.0,-1,7.0,62.0,30.05,1,29.41,10.0,37.0,16.0,42.0
2014-01-01 09,30.04,31.0,-1,7.0,59.0,30.045,0,29.42,10.0,39.0,16.5,44.5
2014-01-01 10,30.03,34.0,-1,4.443166074332871,50.0,30.02,0,29.39,10.0,45.0,16.0,52.0
2014-01-01 11,29.98,37.0,-1,8.0,46.0,29.98,0,29.34,10.0,50.0,15.0,58.0
2014-01-01 12,29.94,38.5,-1,8.0,45.0,29.955,0,29.335,10.0,52.0,18.0,60.0
2014-01-01 13,29.88,41.0,-1,4.443166074332871,42.0,29.88,1,29.24,10.0,56.0,24.0,65.0
2014-01-01 14,29.86,43.0,-1,6.0,40.0,29.86,1,29.22,10.0,59.0,20.0,68.0
2014-01-01 15,29.86,43.5,-1,6.0,40.5,29.86,1,29.235,10.0,59.5,22.5,68.5
2014-01-01 16,29.88,43.0,-1,4.443166074332871,39.0,29.88,1,29.24,10.0,60.0,13.0,69.0
2014-01-01 17,29.9,44.0,-1,3.0,45.0,29.9,1,29.26,10.0,57.0,11.0,66.0
2014-01-01 18,29.93,44.0,-1,3.0,49.5,29.915,1,29.29,10.0,55.0,9.5,63.5
2014-01-01 19,29.97,35.0,-1,4.443166074332871,39.0,29.99,1,29.33,10.0,51.5,20.5,60.0
2014-01-01 20,30.06,33.0,-1,3.0,55.0,30.06,0,29.42,10.0,43.0,25.0,49.0
2014-01-01 21,30.13,31.0,-1,3.0,58.5,30.095,0,29.47,10.0,39.5,23.5,45.0
2014-01-01 22,30.18,25.0,-1,4.443166074332871,64.0,30.19,0,29.54,10.0,32.0,21.0,36.0
2014-01-01 23,30.22,23.0,-1,1.0,66.0,30.22,0,29.58,10.0,29.0,23.0,33.0
2014-01-02 00,30.24,22.0,-1,1.0,65.0,30.23,0,29.6,10.0,28.5,20.5,32.5
2014-01-02 01,30.27,19.0,-1,4.443166074332871,64.0,30.27,0,29.63,10.0,26.0,23.0,30.0
2014-01-02 02,30.32,19.0,-1,3.0,66.0,30.32,0,29.68,10.0,26.0,20.0,29.0
2014-01-02 03,30.34,18.5,-1,3.0,66.0,30.33,0,29.7,10.0,25.5,22.5,28.5
2014-01-02 04,30.36,17.0,-1,4.443166074332871,66.0,30.36,0,29.72,10.0,24.0,21.0,27.0
2014-01-02 05,30.38,17.0,-1,3.0,69.0,30.38,1,29.73,10.0,23.0,17.0,26.0
2014-01-02 06,30.4,16.5,-1,3.0,69.0,30.395,1,29.755,10.0,22.5,17.5,25.5
