DATE_HOUR,HOURLYALTIMETERSETTING,HOURLYDEWPOINTTEMPF,HOURLYPRESENTWEATHERTYPE,HOURLYPRESSURETENDENCY,HOURLYRELATIVEHUMIDITY,HOURLYSEALEVELPRESSURE,HOURLYSKYCONDITIONS,HOURLYSTATIONPRESSURE,HOURLYVISIBILITY,HOURLYWETBULBTEMPF,HOURLYWINDSPEED,HOURLYDRYBULBTEMPF
2014-01-01 00,30.383333333299998,38.0,5,3.0,87.6666666667,30.41,3,29.9133333333,0.163333333333,40.0,0.0,41.6666666667
2014-01-01 01,30.3933333333,36.8333333333,5,4.376402718507982,89.3333333333,30.43,4,29.9233333333,0.47833333333300004,38.5,2.0,40.0
2014-01-01 02,30.41,38.0,5,4.376402718507982,93.0,30.43,-1,29.94,0.25,39.0,3.0,40.0
2014-01-01 03,30.4,37.5,5,0.0,91.0,30.43,4,29.93,0.625,39.0,0.0,40.0
2014-01-01 04,30.395,36.3333333333,5,4.376402718507982,90.3333333333,30.425,3,29.9233333333,0.5,38.0,4.66666666667,38.6666666667
2014-01-01 05,30.37,37.0,5,4.376402718507982,91.0,30.4,-1,29.9,0.12,38.5,4.0,39.5
2014-01-01 06,30.38,38.0,5,5.0,93.0,30.41,-1,29.91,0.12,39.0,0.0,40.0
2014-01-01 07,30.38,38.0,5,4.376402718507982,89.0,30.41,-1,29.91,0.12,40.0,6.0,41.0
2014-01-01 08,30.4,39.0,5,4.376402718507982,93.0,30.43,-1,29.93,0.12,40.0,0.0,41.0
2014-01-01 09,30.39,39.0,5,0.0,88.0,30.41,-1,29.92,0.12,40.5,3.0,42.5
2014-01-01 10,30.39,39.0,5,4.376402718507982,88.3333333333,30.415,4,29.9166666667,0.12,40.3333333333,1.0,42.3333333333
2014-01-01 11,30.36,39.0,5,4.376402718507982,89.0,30.39,-1,29.89,0.12,40.0,0.0,42.0
2014-01-01 12,30.35,40.0,5,8.0,92.0,30.38,4,29.88,0.12,41.0,0.0,42.0
2014-01-01 13,30.34,40.5,1,4.376402718507982,91.0,30.37,4,29.87,1.5,41.5,0.0,43.0
2014-01-01 14,30.33,40.0,1,4.376402718507982,83.0,30.36,4,29.86,1.5,42.0,3.0,45.0
2014-01-01 15,30.34,39.5,1,5.0,82.0,30.37,4,29.87,3.5,42.0,2.5,45.0
2014-01-01 16,30.35,40.0,0,5.0,83.0,30.375,1,29.87,6.0,42.0,1.5,45.0
2014-01-01 17,30.35,40.0,0,4.376402718507982,83.0,30.38,1,29.88,7.0,42.0,0.0,45.0
2014-01-01 18,30.33,40.0,0,8.0,85.0,30.36,1,29.86,7.0,42.0,5.0,44.0
2014-01-01 19,30.3,40.0,1,4.376402718507982,85.0,30.33,1,29.83,5.0,42.0,5.0,44.0
2014-01-01 20,30.27,40.0,-1,4.376402718507982,85.0,30.3,4,29.8,9.0,42.0,7.0,44.0
2014-01-01 21,30.27,39.5,1,6.0,83.0,30.3,1,29.8,7.0,42.0,6.0,44.5
2014-01-01 22,30.26,40.0,-1,6.0,85.0,30.295,4,29.79,10.0,42.0,2.5,44.0
2014-01-01 23,30.25,39.5,-1,4.376402718507982,85.0,30.28,1,29.78,8.0,41.5,4.0,44.0
2014-01-02 00,30.244,39.2,1,8.0,84.2,30.27,3,29.774,2.2,41.6,4.4,44.0
2014-01-02 01,30.23,39.5,0,4.376402718507982,83.0,30.26,1,29.76,6.0,42.0,2.5,44.5
2014-01-02 02,30.225,39.5,0,4.376402718507982,88.0,30.25,3,29.755,4.0,41.0,7.0,43.0
2014-01-02 03,30.23,39.3333333333,0,5.0,87.6666666667,30.26,3,29.76,0.41333333333300004,41.0,5.666666666669999,43.0
2014-01-02 04,30.21,40.25,0,5.0,88.0,30.245,4,29.7425,3.83333333333,41.75,0.75,43.75
2014-01-02 05,30.1933333333,41.0,1,4.376402718507982,91.6666666667,30.22,3,29.73,3.75,42.0,0.0,43.3333333333
2014-01-02 06,30.17,40.0,-1,6.0,89.0,30.2,1,29.7,10.0,41.0,7.0,43.0
2014-01-02 07,30.14,41.0,-1,4.376402718507982,89.0,30.17,1,29.68,10.0,42.0,0.0,44.0
2014-01-02 08,30.14,40.5,1,4.376402718507982,86.0,30.17,1,29.68,5.0,42.5,3.0,44.5
2014-01-02 09,30.13,41.0,-1,6.0,86.0,30.16,1,29.67,10.0,43.0,6.0,45.0
2014-01-02 10,30.11,41.0,-1,6.0,84.5,30.15,1,29.65,10.0,43.0,7.0,45.5
2014-01-02 11,30.08,42.0,-1,4.376402718507982,83.0,30.11,1,29.62,10.0,44.0,11.0,47.0
2014-01-02 12,30.05,41.0,-1,8.0,77.0,30.07,1,29.59,10.0,45.0,14.0,48.0
2014-01-02 13,30.02,41.0,-1,4.376402718507982,71.0,30.05,3,29.56,10.0,46.0,9.0,50.0
