DATE_HOUR,DAILYSUNRISE,DAILYSUNSET,HOURLYALTIMETERSETTING,HOURLYDEWPOINTTEMPF,HOURLYDRYBULBTEMPF,HOURLYPRECIP,HOURLYPRESENTWEATHERTYPE,HOURLYPRESSURECHANGE,HOURLYPRESSURETENDENCY,HOURLYRELATIVEHUMIDITY,HOURLYSEALEVELPRESSURE,HOURLYSKYCONDITIONS,HOURLYSTATIONPRESSURE,HOURLYVISIBILITY,HOURLYWETBULBTEMPF,HOURLYWINDDIRECTION,HOURLYWINDGUSTSPEED,HOURLYWINDSPEED
2014-01-01 00,757.0,1726.0,30.3,20.0,24.0,0.0,-1,,5.0,84.0,30.32,0,29.77,10.0,23.0,50.0,,3.0
2014-01-01 01,757.0,1726.0,30.31,21.0,24.0,0.0,-1,,,88.0,30.32,0,29.78,10.0,23.0,0.0,,0.0
2014-01-01 02,757.0,1726.0,30.31,21.0,24.0,0.0,-1,,,88.0,30.32,0,29.78,10.0,23.0,0.0,,0.0
2014-01-01 03,757.0,1726.0,30.29,21.0,22.0,0.0,-1,,8.0,96.0,30.31,0,29.75,9.0,22.0,0.0,,0.0
2014-01-01 04,757.0,1726.0,30.27,19.0,21.0,0.0,-1,,,92.0,30.29,0,29.74,9.0,20.0,0.0,,0.0
2014-01-01 05,757.0,1726.0,30.27,20.0,21.0,0.0,-1,,,96.0,30.3,0,29.74,7.0,21.0,0.0,,0.0
2014-01-01 06,757.0,1726.0,30.28,20.0,21.0,0.0,-1,,3.0,96.0,30.3,0,29.75,7.0,21.0,0.0,,0.0
2014-01-01 07,757.0,1726.0,30.27,20.0,21.0,0.0,-1,,,96.0,30.3,0,29.74,10.0,21.0,0.0,,0.0
2014-01-01 08,757.0,1726.0,30.28,19.0,21.0,0.0,-1,,,92.0,30.3,0,29.75,10.0,20.0,0.0,,0.0
2014-01-01 09,757.0,1726.0,30.28,27.0,29.0,0.0,-1,,3.0,92.0,30.3,0,29.75,10.0,28.0,0.0,,0.0
2014-01-01 10,757.0,1726.0,30.26,28.0,37.0,0.0,-1,,,70.0,30.28,0,29.73,10.0,33.0,190.0,,7.0
2014-01-01 11,757.0,1726.0,30.24,27.0,40.0,0.0,-1,,,60.0,30.25,0,29.71,10.0,35.0,190.0,,8.0
2014-01-01 12,757.0,1726.0,30.19,28.0,44.0,0.0,-1,,8.0,53.0,30.2,0,29.66,10.0,38.0,220.0,,9.0
2014-01-01 13,757.0,1726.0,30.15,27.0,45.0,0.0,-1,,,49.0,30.17,0,29.62,10.0,39.0,250.0,,6.0
2014-01-01 14,757.0,1726.0,30.13,26.0,47.0,0.0,-1,,,44.0,30.14,0,29.6,10.0,40.0,190.0,,9.0
2014-01-01 15,757.0,1726.0,30.11,26.0,47.0,0.0,-1,,6.0,44.0,30.12,0,29.58,10.0,40.0,180.0,,9.0
2014-01-01 16,757.0,1726.0,30.11,25.0,43.0,0.0,-1,,,49.0,30.13,0,29.58,10.0,37.0,210.0,,6.0
2014-01-01 17,757.0,1726.0,30.11,25.0,42.0,0.0,-1,,,51.0,30.12,0,29.58,10.0,36.0,230.0,,6.0
2014-01-01 18,757.0,1726.0,30.11,26.0,39.0,0.0,-1,,2.0,60.0,30.13,0,29.58,10.0,34.0,220.0,,3.0
2014-01-01 19,757.0,1727.0,30.1,28.0,37.0,0.0,-1,,,70.0,30.12,0,29.57,10.0,33.0,0.0,,0.0
2014-01-01 20,757.0,1727.0,30.09,28.0,38.0,0.0,-1,,,68.0,30.11,1,29.56,10.0,34.0,0.0,,0.0
2014-01-01 21,757.0,1727.0,30.07,29.0,35.0,0.0,-1,,8.0,78.0,30.09,4,29.54,10.0,33.0,0.0,,0.0
2014-01-01 22,757.0,1727.0,30.06,29.0,35.0,0.0,-1,,,78.0,30.07,0,29.53,10.0,33.0,0.0,,0.0
2014-01-01 23,757.0,1727.0,30.03,29.0,34.0,0.0,-1,,,82.0,30.04,4,29.5,10.0,32.0,0.0,,0.0
2014-01-02 00,757.0,1727.0,30.01,29.0,34.0,0.0,-1,,6.0,82.0,30.02,4,29.48,10.0,32.0,0.0,,0.0
2014-01-02 01,757.0,1727.0,30.0,30.0,34.0,0.0,-1,,,85.0,30.01,4,29.47,10.0,32.0,0.0,,0.0
2014-01-02 02,757.0,1727.0,30.01,30.0,34.0,0.01,0,,,86.0,30.02,4,29.48,9.0,32.0,0.0,,0.0
2014-01-02 03,757.0,1727.0,29.992,31.6,32.8,0.05,6,,8.0,96.0,29.99,4,29.462,2.0,32.2,18.0,,0.6
2014-01-02 04,757.0,1727.0,29.95,32.0,32.0,0.0433333333333,6,,,100.0,29.94,4,29.42,0.958333333333,32.0,10.0,,1.83333333333
2014-01-02 05,757.0,1727.0,29.91,32.0,32.0,0.018,6,,,100.0,29.91,4,29.38,2.1,32.0,152.0,,2.8
2014-01-02 06,757.0,1727.0,29.8933333333,32.0,32.0,0.025,6,,6.0,100.0,29.89,4,29.3633333333,1.25,32.0,0.0,,0.0
2014-01-02 07,757.0,1727.0,29.8633333333,32.0,32.0,0.0133333333333,6,,,100.0,29.87,4,29.3333333333,1.83333333333,32.0,0.0,,0.0
2014-01-02 08,757.0,1727.0,29.855,32.0,32.0,0.02,6,,,100.0,29.87,4,29.325,1.375,32.0,0.0,,0.0
2014-01-02 09,757.0,1727.0,29.85,32.0,32.0,0.05,5,,6.0,100.0,29.86,4,29.32,0.5,32.0,0.0,,0.0
2014-01-02 10,757.0,1727.0,29.8525,30.5,32.0,0.0225,6,,,94.5,29.86,4,29.3225,0.75,31.25,262.5,,5.75
2014-01-02 11,757.0,1727.0,29.8575,27.0,29.0,,6,,,91.75,29.87,4,29.3275,1.0,28.25,347.5,20.0,13.75
2014-01-02 12,757.0,1727.0,29.86,24.25,26.75,0.01,6,,3.0,90.0,29.87,3,29.33,1.0625,25.75,347.5,18.0,12.25
2014-01-02 13,757.0,1727.0,29.8866666667,18.6666666667,22.6666666667,,6,,,84.6666666667,29.91,3,29.3566666667,2.0,21.3333333333,333.333333333,23.3333333333,15.3333333333
2014-01-02 14,757.0,1727.0,29.92,15.3333333333,20.0,,6,,,81.3333333333,29.95,4,29.39,7.0,18.3333333333,336.666666667,23.6666666667,16.3333333333
2014-01-02 15,757.0,1727.0,29.97,14.0,19.0,,6,,1.0,79.5,30.0,4,29.44,2.75,17.0,337.5,20.0,11.5
2014-01-02 16,757.0,1727.0,30.015,12.25,18.25,,6,,,78.0,30.05,3,29.485,1.25,16.25,330.0,23.25,13.75
2014-01-02 17,757.0,1727.0,30.065,12.0,17.5,,6,,,79.5,30.1,4,29.535,1.375,16.0,345.0,24.5,16.5
2014-01-02 18,757.0,1727.0,30.12,10.5,16.0,,6,,3.0,79.5,30.15,4,29.59,2.25,14.5,340.0,22.0,15.0
2014-01-02 19,757.0,1727.0,30.17,10.0,16.0,,6,,,78.0,30.21,4,29.64,3.0,14.0,350.0,23.0,14.5
2014-01-02 20,757.0,1727.0,30.2033333333,10.0,16.0,,6,,,78.3333333333,30.23,4,29.6733333333,2.83333333333,14.0,343.333333333,23.0,16.0
